.0A,COLLEGE NAME,WEBSITE,ADRESS
399,"Kamakhya Pemton College, Imphal",https://www.kamakhyapemtoncollege.ac.in/,
400,"Kamaxi College of Culinary Arts (KCCA), Verna, Goa",https://www.kamaxicollege.edu.in/,
401,"Karaikal Polytechnic College, Karaikal",http://kptc.in/,
402,"Karavali College of Nursing Sciences (KCNS), Mangalore",https://www.karavalicollege.com/,
403,"Katras College, Katrasgarh",http://www.katrascollege.org/,
404,"Kelvin Institute Of Technology, Dehradun",http://www.kelvininstitute.edu.in/,
405,"KGK Academy Foundation, Surat",https://www.indcareer.com/gujarat/surat/kgkacademy.com,
406,"KGRL College, Bhimavaram",http://www.kgrlcollege.in/,
407,"Kha Manipur College, Kakching",https://www.khamanipurcollege.edu.in/,
408,"Khanchi Pvt ITI, Chakki",http://www.khanchiiti.com/,
